nlist,nprobe,penetration,hit_rate
1,1,1.0,0.9429362880886426
2,1,0.5,0.8620498614958448
2,2,1.0,0.9429362880886426
3,1,0.3333333333333333,0.8349030470914127
3,2,0.6666666666666666,0.9274238227146815
3,3,1.0,0.9429362880886426
4,1,0.25,0.7878116343490305
4,2,0.5,0.9146814404432133
4,3,0.75,0.9390581717451524
4,4,1.0,0.9429362880886426
5,1,0.2,0.7761772853185596
5,2,0.4,0.9102493074792244
5,3,0.6,0.9357340720221606
5,4,0.8,0.942382271468144
5,5,1.0,0.9429362880886426
6,1,0.16666666666666666,0.7645429362880887
6,2,0.3333333333333333,0.8947368421052632
6,3,0.5,0.9301939058171745
6,4,0.6666666666666666,0.939612188365651
6,5,0.8333333333333334,0.942382271468144
6,6,1.0,0.9429362880886426
7,1,0.14285714285714285,0.7512465373961219
7,2,0.2857142857142857,0.8814404432132964
7,3,0.42857142857142855,0.9207756232686981
7,4,0.5714285714285714,0.9368421052631579
7,5,0.7142857142857143,0.9429362880886426
7,6,0.8571428571428571,0.9429362880886426
7,7,1.0,0.9429362880886426
8,1,0.125,0.7479224376731302
8,2,0.25,0.8836565096952909
8,3,0.375,0.9263157894736842
8,4,0.5,0.9373961218836565
8,5,0.625,0.939612188365651
8,6,0.75,0.9418282548476454
8,7,0.875,0.9429362880886426
8,8,1.0,0.9429362880886426
9,1,0.1111111111111111,0.7518005540166205
9,2,0.2222222222222222,0.884764542936288
9,3,0.3333333333333333,0.9207756232686981
9,4,0.4444444444444444,0.9373961218836565
9,5,0.5555555555555556,0.9401662049861496
9,6,0.6666666666666666,0.9412742382271468
9,7,0.7777777777777778,0.9418282548476454
9,8,0.8888888888888888,0.9429362880886426
9,9,1.0,0.9429362880886426
10,1,0.1,0.7373961218836566
10,2,0.2,0.8858725761772853
10,3,0.3,0.9196675900277008
10,4,0.4,0.9379501385041551
10,5,0.5,0.9401662049861496
10,6,0.6,0.9418282548476454
10,7,0.7,0.942382271468144
10,8,0.8,0.942382271468144
10,9,0.9,0.9429362880886426
10,10,1.0,0.9429362880886426
11,1,0.09090909090909091,0.7407202216066482
11,2,0.18181818181818182,0.881994459833795
11,3,0.2727272727272727,0.9213296398891967
11,4,0.36363636363636365,0.9335180055401662
11,5,0.45454545454545453,0.9401662049861496
11,6,0.5454545454545454,0.9412742382271468
11,7,0.6363636363636364,0.9418282548476454
11,8,0.7272727272727273,0.9418282548476454
11,9,0.8181818181818182,0.9418282548476454
11,10,0.9090909090909091,0.9429362880886426
11,11,1.0,0.9429362880886426
12,1,0.08333333333333333,0.7346260387811634
12,2,0.16666666666666666,0.8759002770083103
12,3,0.25,0.9202216066481994
12,4,0.3333333333333333,0.935180055401662
12,5,0.4166666666666667,0.9390581717451524
12,6,0.5,0.9412742382271468
12,7,0.5833333333333334,0.9412742382271468
12,8,0.6666666666666666,0.9418282548476454
12,9,0.75,0.942382271468144
12,10,0.8333333333333334,0.9429362880886426
12,11,0.9166666666666666,0.9429362880886426
12,12,1.0,0.9429362880886426
13,1,0.07692307692307693,0.7357340720221607
13,2,0.15384615384615385,0.8736842105263158
13,3,0.23076923076923078,0.9168975069252078
13,4,0.3076923076923077,0.932409972299169
13,5,0.38461538461538464,0.9390581717451524
