nprobe,penetration,k,hit_rate
1,0.01,1,0.7933518005540167
1,0.01,2,0.7961218836565097
1,0.01,3,0.7961218836565097
1,0.01,4,0.7977839335180056
1,0.01,5,0.7977839335180056
1,0.01,6,0.7983379501385042
1,0.01,7,0.7983379501385042
1,0.01,8,0.7983379501385042
1,0.01,9,0.7983379501385042
1,0.01,10,0.7983379501385042
1,0.01,11,0.7983379501385042
1,0.01,12,0.7983379501385042
1,0.01,13,0.7983379501385042
1,0.01,14,0.7983379501385042
1,0.01,15,0.7988919667590028
1,0.01,16,0.7988919667590028
1,0.01,17,0.7988919667590028
1,0.01,18,0.7988919667590028
1,0.01,19,0.7988919667590028
1,0.01,20,0.7988919667590028
1,0.01,21,0.7988919667590028
1,0.01,22,0.7988919667590028
1,0.01,23,0.7988919667590028
1,0.01,24,0.7988919667590028
1,0.01,25,0.7988919667590028
1,0.01,26,0.7988919667590028
1,0.01,27,0.7988919667590028
1,0.01,28,0.7988919667590028
1,0.01,29,0.7988919667590028
1,0.01,30,0.7988919667590028
1,0.01,31,0.7988919667590028
1,0.01,32,0.7988919667590028
1,0.01,33,0.7988919667590028
1,0.01,34,0.7988919667590028
1,0.01,35,0.7988919667590028
1,0.01,36,0.7988919667590028
1,0.01,37,0.7988919667590028
1,0.01,38,0.7988919667590028
1,0.01,39,0.7988919667590028
1,0.01,40,0.7988919667590028
1,0.01,41,0.7988919667590028
1,0.01,42,0.7988919667590028
1,0.01,43,0.7988919667590028
1,0.01,44,0.7988919667590028
1,0.01,45,0.7988919667590028
1,0.01,46,0.7988919667590028
1,0.01,47,0.7988919667590028
1,0.01,48,0.7988919667590028
1,0.01,49,0.7988919667590028
1,0.01,50,0.7988919667590028
2,0.02,1,0.8775623268698061
2,0.02,2,0.881994459833795
2,0.02,3,0.8831024930747923
2,0.02,4,0.8831024930747923
2,0.02,5,0.8836565096952909
2,0.02,6,0.8842105263157894
2,0.02,7,0.884764542936288
2,0.02,8,0.884764542936288
2,0.02,9,0.8853185595567867
2,0.02,10,0.8853185595567867
2,0.02,11,0.8853185595567867
2,0.02,12,0.8858725761772853
2,0.02,13,0.8858725761772853
2,0.02,14,0.8858725761772853
2,0.02,15,0.8858725761772853
2,0.02,16,0.8858725761772853
2,0.02,17,0.8858725761772853
2,0.02,18,0.8858725761772853
2,0.02,19,0.8858725761772853
2,0.02,20,0.8858725761772853
2,0.02,21,0.8858725761772853
2,0.02,22,0.8858725761772853
2,0.02,23,0.8864265927977839
2,0.02,24,0.8864265927977839
2,0.02,25,0.8864265927977839
2,0.02,26,0.8864265927977839
2,0.02,27,0.8864265927977839
