k,hit_rate_percent
1,25.0
2,35.18518518518518
3,41.66666666666667
4,48.148148148148145
5,48.148148148148145
6,52.77777777777778
7,55.55555555555556
8,61.111111111111114
9,62.96296296296296
10,62.96296296296296
11,62.96296296296296
12,64.81481481481481
13,66.66666666666666
14,69.44444444444444
15,70.37037037037037
16,71.29629629629629
17,71.29629629629629
18,72.22222222222221
19,73.14814814814815
20,74.07407407407408
21,75.0
22,76.85185185185185
23,80.55555555555556
24,80.55555555555556
25,80.55555555555556
26,81.48148148148148
27,83.33333333333334
28,83.33333333333334
29,83.33333333333334
30,85.18518518518519
31,85.18518518518519
32,85.18518518518519
33,87.03703703703704
34,87.96296296296296
35,87.96296296296296
36,88.88888888888889
37,89.81481481481481
38,91.66666666666666
39,91.66666666666666
40,92.5925925925926
41,92.5925925925926
42,92.5925925925926
43,92.5925925925926
44,92.5925925925926
45,92.5925925925926
46,92.5925925925926
47,93.51851851851852
48,93.51851851851852
49,93.51851851851852
50,93.51851851851852
51,94.44444444444444
52,95.37037037037037
53,95.37037037037037
54,95.37037037037037
55,95.37037037037037
56,95.37037037037037
57,95.37037037037037
58,95.37037037037037
59,97.22222222222221
60,97.22222222222221
61,97.22222222222221
62,97.22222222222221
63,97.22222222222221
64,97.22222222222221
65,97.22222222222221
66,97.22222222222221
67,97.22222222222221
68,97.22222222222221
69,97.22222222222221
70,97.22222222222221
71,97.22222222222221
72,97.22222222222221
73,97.22222222222221
74,97.22222222222221
75,97.22222222222221
76,97.22222222222221
77,97.22222222222221
78,97.22222222222221
79,97.22222222222221
80,97.22222222222221
81,97.22222222222221
82,97.22222222222221
83,97.22222222222221
84,97.22222222222221
85,98.14814814814815
86,98.14814814814815
87,98.14814814814815
88,98.14814814814815
89,98.14814814814815
90,98.14814814814815
91,98.14814814814815
92,98.14814814814815
93,98.14814814814815
94,98.14814814814815
95,98.14814814814815
96,98.14814814814815
97,98.14814814814815
98,99.07407407407408
99,99.07407407407408
100,99.07407407407408
101,99.07407407407408
102,99.07407407407408
103,99.07407407407408
104,99.07407407407408
105,99.07407407407408
106,99.07407407407408
107,99.07407407407408
108,99.07407407407408
