k,hit_rate_percent
1,91.66666666666666
2,93.51851851851852
3,94.44444444444444
4,95.37037037037037
5,95.37037037037037
6,95.37037037037037
7,96.29629629629629
8,96.29629629629629
9,96.29629629629629
10,96.29629629629629
11,96.29629629629629
12,96.29629629629629
13,96.29629629629629
14,97.22222222222221
15,97.22222222222221
16,97.22222222222221
17,97.22222222222221
18,97.22222222222221
19,97.22222222222221
20,97.22222222222221
21,97.22222222222221
22,98.14814814814815
23,98.14814814814815
24,98.14814814814815
25,98.14814814814815
26,98.14814814814815
27,98.14814814814815
28,98.14814814814815
29,98.14814814814815
30,98.14814814814815
31,98.14814814814815
32,98.14814814814815
33,98.14814814814815
34,98.14814814814815
35,98.14814814814815
36,98.14814814814815
37,98.14814814814815
38,98.14814814814815
39,98.14814814814815
40,98.14814814814815
41,98.14814814814815
42,98.14814814814815
43,98.14814814814815
44,98.14814814814815
45,98.14814814814815
46,98.14814814814815
47,98.14814814814815
48,98.14814814814815
49,99.07407407407408
50,99.07407407407408
51,99.07407407407408
52,99.07407407407408
53,99.07407407407408
54,99.07407407407408
55,99.07407407407408
56,99.07407407407408
57,99.07407407407408
58,99.07407407407408
59,99.07407407407408
60,99.07407407407408
61,99.07407407407408
62,99.07407407407408
63,99.07407407407408
64,99.07407407407408
65,99.07407407407408
66,99.07407407407408
67,99.07407407407408
68,99.07407407407408
69,99.07407407407408
70,99.07407407407408
71,99.07407407407408
72,99.07407407407408
73,99.07407407407408
74,99.07407407407408
75,99.07407407407408
76,99.07407407407408
77,99.07407407407408
78,99.07407407407408
79,99.07407407407408
80,99.07407407407408
81,99.07407407407408
82,99.07407407407408
83,99.07407407407408
84,99.07407407407408
85,99.07407407407408
86,99.07407407407408
87,99.07407407407408
88,99.07407407407408
89,99.07407407407408
90,99.07407407407408
91,99.07407407407408
92,99.07407407407408
93,99.07407407407408
94,99.07407407407408
95,99.07407407407408
96,99.07407407407408
97,99.07407407407408
98,99.07407407407408
99,99.07407407407408
100,100.0
101,100.0
102,100.0
103,100.0
104,100.0
105,100.0
106,100.0
107,100.0
108,100.0
