k,penetration,hit_rate
1,0.0022988505747126436,0.9401662049861496
2,0.004597701149425287,0.9501385041551247
3,0.006896551724137931,0.9551246537396122
4,0.009195402298850575,0.9584487534626038
5,0.011494252873563218,0.9606648199445983
6,0.013793103448275862,0.9617728531855956
7,0.016091954022988506,0.9617728531855956
8,0.01839080459770115,0.9634349030470915
9,0.020689655172413793,0.9634349030470915
10,0.022988505747126436,0.9634349030470915
11,0.02528735632183908,0.9645429362880886
12,0.027586206896551724,0.9645429362880886
13,0.029885057471264367,0.9645429362880886
14,0.03218390804597701,0.9645429362880886
15,0.034482758620689655,0.9650969529085872
16,0.0367816091954023,0.9650969529085872
17,0.03908045977011494,0.9650969529085872
18,0.041379310344827586,0.9650969529085872
19,0.04367816091954023,0.9662049861495845
20,0.04597701149425287,0.9667590027700831
21,0.04827586206896552,0.968421052631579
22,0.05057471264367816,0.968421052631579
23,0.052873563218390804,0.968421052631579
24,0.05517241379310345,0.968421052631579
25,0.05747126436781609,0.968421052631579
26,0.059770114942528735,0.9689750692520775
27,0.06206896551724138,0.9695290858725761
28,0.06436781609195402,0.9695290858725761
29,0.06666666666666667,0.9695290858725761
30,0.06896551724137931,0.9695290858725761
31,0.07126436781609195,0.9695290858725761
32,0.0735632183908046,0.9695290858725761
33,0.07586206896551724,0.971191135734072
34,0.07816091954022988,0.9717451523545706
35,0.08045977011494253,0.9717451523545706
36,0.08275862068965517,0.9717451523545706
37,0.08505747126436781,0.9722991689750693
38,0.08735632183908046,0.9722991689750693
39,0.0896551724137931,0.9728531855955679
40,0.09195402298850575,0.9728531855955679
41,0.09425287356321839,0.9734072022160665
42,0.09655172413793103,0.9734072022160665
43,0.09885057471264368,0.9739612188365651
44,0.10114942528735632,0.9739612188365651
45,0.10344827586206896,0.9745152354570638
46,0.10574712643678161,0.9750692520775623
47,0.10804597701149425,0.9750692520775623
48,0.1103448275862069,0.9750692520775623
49,0.11264367816091954,0.9750692520775623
50,0.11494252873563218,0.9750692520775623
51,0.11724137931034483,0.9756232686980609
52,0.11954022988505747,0.9756232686980609
53,0.12183908045977011,0.9761772853185595
54,0.12413793103448276,0.9761772853185595
55,0.12643678160919541,0.9761772853185595
56,0.12873563218390804,0.9761772853185595
57,0.1310344827586207,0.9761772853185595
58,0.13333333333333333,0.9761772853185595
59,0.135632183908046,0.9761772853185595
60,0.13793103448275862,0.9767313019390582
61,0.14022988505747128,0.9767313019390582
62,0.1425287356321839,0.9767313019390582
63,0.14482758620689656,0.9767313019390582
64,0.1471264367816092,0.9767313019390582
65,0.14942528735632185,0.9767313019390582
66,0.15172413793103448,0.9767313019390582
67,0.15402298850574714,0.9767313019390582
68,0.15632183908045977,0.9772853185595568
69,0.15862068965517243,0.9772853185595568
70,0.16091954022988506,0.9772853185595568
