num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
5,48,500,500,0.0075,0.92,0.1698,50
5,64,100,100,0.0070,0.92,0.1617,50
5,64,100,200,0.0074,0.92,0.1406,50
5,64,100,300,0.0066,0.92,0.1572,50
5,64,100,400,0.0068,0.92,0.1480,50
5,64,100,500,0.0067,0.92,0.1576,50
5,64,200,100,0.0066,0.92,0.1522,50
5,64,200,200,0.0074,0.92,0.1674,50
5,64,200,300,0.0067,0.92,0.1348,50
5,64,200,400,0.0067,0.92,0.1561,50
5,64,200,500,0.0068,0.92,0.1365,50
5,64,300,100,0.0067,0.92,0.1528,50
5,64,300,200,0.0073,0.92,0.1732,50
5,64,300,300,0.0074,0.92,0.1681,50
5,64,300,400,0.0067,0.92,0.1563,50
5,64,300,500,0.0068,0.92,0.1517,50
5,64,400,100,0.0067,0.92,0.1508,50
5,64,400,200,0.0073,0.92,0.1617,50
5,64,400,300,0.0066,0.92,0.1516,50
5,64,400,400,0.0070,0.92,0.1624,50
5,64,400,500,0.0069,0.92,0.1620,50
5,64,500,100,0.0066,0.92,0.1518,50
5,64,500,200,0.0067,0.92,0.1478,50
5,64,500,300,0.0068,0.92,0.1508,50
5,64,500,400,0.0074,0.92,0.1380,50
5,64,500,500,0.0068,0.92,0.1540,50
6,16,100,100,0.0106,0.9,0.2073,40
6,16,100,200,0.0108,0.9,0.2340,40
6,16,100,300,0.0105,0.9,0.1958,40
6,16,100,400,0.0100,0.9,0.1895,40
