date,time,e,M,efc,efs,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-17,11:39:53,1,48,600,100,0.0053,0.3600,0.2243,225
2026-03-17,11:39:53,1,16,500,100,0.0054,0.3600,0.2439,225
2026-03-17,11:39:53,1,48,600,200,0.0053,0.3600,0.2198,225
2026-03-17,11:39:53,1,32,700,100,0.0055,0.3600,0.2370,225
2026-03-17,11:39:53,1,48,1000,100,0.0053,0.3600,0.2302,225
2026-03-17,11:39:53,1,16,500,200,0.0054,0.3600,0.2561,225
2026-03-17,11:39:53,1,48,400,100,0.0031,0.3600,0.1387,225
2026-03-17,11:39:53,1,32,800,100,0.0021,0.3600,0.0976,225
2026-03-17,11:39:53,1,48,600,300,0.0053,0.3600,0.2269,225
2026-03-17,11:39:53,1,32,700,200,0.0055,0.3600,0.2406,225
2026-03-17,11:39:53,1,48,300,100,0.0020,0.3600,0.0866,225
2026-03-17,11:39:53,1,48,400,200,0.0031,0.3600,0.1410,225
2026-03-17,11:39:53,1,48,1000,200,0.0053,0.3600,0.2333,225
2026-03-17,11:39:53,1,32,800,200,0.0021,0.3600,0.1437,225
2026-03-17,11:39:53,1,48,300,200,0.0020,0.3600,0.0941,225
2026-03-17,11:39:53,1,16,500,300,0.0054,0.3600,0.2585,225
2026-03-17,11:39:53,1,48,400,300,0.0031,0.3600,0.1539,225
2026-03-17,11:39:53,1,48,600,400,0.0053,0.3600,0.2329,225
2026-03-17,11:39:53,1,48,300,300,0.0020,0.3600,0.0946,225
2026-03-17,11:39:53,1,32,800,300,0.0021,0.3600,0.1613,225
2026-03-17,11:39:53,1,32,700,300,0.0055,0.3600,0.2690,225
2026-03-17,11:39:53,1,48,1000,300,0.0053,0.3600,0.2452,225
2026-03-17,11:39:53,1,48,300,400,0.0020,0.3600,0.1166,225
2026-03-17,11:39:54,1,48,400,400,0.0031,0.3600,0.1542,225
2026-03-17,11:39:54,1,16,700,100,0.0037,0.3600,0.1677,225
2026-03-17,11:39:54,1,32,800,400,0.0021,0.3600,0.1499,225
2026-03-17,11:39:54,1,16,500,400,0.0054,0.3600,0.2631,225
2026-03-17,11:39:54,1,32,400,100,0.0063,0.3600,0.2700,225
2026-03-17,11:39:54,1,48,300,500,0.0020,0.3600,0.1155,225
2026-03-17,11:39:54,1,48,600,500,0.0053,0.3600,0.2468,225
2026-03-17,11:39:54,1,48,400,500,0.0031,0.3600,0.1601,225
2026-03-17,11:39:54,1,32,800,500,0.0021,0.3600,0.1149,225
2026-03-17,11:39:54,1,16,400,100,0.0060,0.3600,0.2670,225
2026-03-17,11:39:54,1,48,1000,400,0.0053,0.3600,0.2399,225
2026-03-17,11:39:54,1,32,700,400,0.0055,0.3600,0.2700,225
2026-03-17,11:39:54,1,16,700,200,0.0037,0.3600,0.1634,225
2026-03-17,11:39:54,1,48,300,600,0.0020,0.3600,0.1265,225
2026-03-17,11:39:54,1,32,1000,100,0.0060,0.3600,0.2574,225
2026-03-17,11:39:54,1,32,800,600,0.0021,0.3600,0.1106,225
2026-03-17,11:39:54,1,32,100,100,0.0035,0.3600,0.1633,225
2026-03-17,11:39:54,1,16,500,500,0.0054,0.3600,0.2586,225
2026-03-17,11:39:54,1,48,400,600,0.0031,0.3600,0.1477,225
2026-03-17,11:39:54,1,32,400,200,0.0063,0.3600,0.2572,225
2026-03-17,11:39:54,1,32,900,100,0.0037,0.3600,0.1523,225
2026-03-17,11:39:54,1,48,600,600,0.0053,0.3600,0.2362,225
2026-03-17,11:39:54,1,48,300,700,0.0020,0.3600,0.1239,225
2026-03-17,11:39:54,1,16,700,300,0.0037,0.3600,0.1611,225
2026-03-17,11:39:54,1,32,800,700,0.0021,0.3600,0.1103,225
2026-03-17,11:39:54,1,48,1000,500,0.0053,0.3600,0.2396,225
2026-03-17,11:39:54,1,16,400,200,0.0060,0.3600,0.2515,225
2026-03-17,11:39:54,1,32,700,500,0.0055,0.3600,0.2615,225
2026-03-17,11:39:54,1,48,400,700,0.0031,0.3600,0.1487,225
2026-03-17,11:39:54,1,32,100,200,0.0035,0.3600,0.1689,225
2026-03-17,11:39:54,1,48,300,800,0.0020,0.3600,0.1062,225
2026-03-17,11:39:54,1,32,900,200,0.0037,0.3600,0.1534,225
2026-03-17,11:39:54,1,32,800,800,0.0021,0.3600,0.1023,225
2026-03-17,11:39:54,1,32,1000,200,0.0060,0.3600,0.2482,225
2026-03-17,11:39:54,1,16,700,400,0.0037,0.3600,0.1610,225
2026-03-17,11:39:54,1,48,200,100,0.0058,0.3600,0.2458,225
2026-03-17,11:39:54,1,32,500,100,0.0033,0.3600,0.1408,225
2026-03-17,11:39:54,1,48,300,900,0.0020,0.3600,0.0891,225
