date,time,num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-16,20:26:03,1,48,300,100,0.0119,0.34444444444444444,0.2863,450
2026-03-16,20:26:03,1,48,300,200,0.0119,0.34444444444444444,0.2820,450
2026-03-16,20:26:03,1,16,100,100,0.0090,0.34444444444444444,0.1936,450
2026-03-16,20:26:03,1,48,700,100,0.0128,0.34444444444444444,0.2863,450
2026-03-16,20:26:03,1,32,200,100,0.0079,0.34444444444444444,0.1648,450
2026-03-16,20:26:03,1,32,900,100,0.0234,0.34444444444444444,0.4972,450
2026-03-16,20:26:03,1,48,300,300,0.0119,0.34444444444444444,0.2774,450
2026-03-16,20:26:03,1,32,600,100,0.0139,0.34444444444444444,0.5027,450
2026-03-16,20:26:03,1,16,200,100,0.0134,0.34444444444444444,0.3069,450
2026-03-16,20:26:03,1,16,100,200,0.0090,0.34444444444444444,0.1992,450
2026-03-16,20:26:03,1,32,1000,100,0.0230,0.34444444444444444,0.4768,450
2026-03-16,20:26:03,1,32,700,100,0.0131,0.34444444444444444,0.3086,450
2026-03-16,20:26:03,1,32,200,200,0.0079,0.34444444444444444,0.1679,450
2026-03-16,20:26:03,1,48,900,100,0.0220,0.34444444444444444,0.4545,450
2026-03-16,20:26:03,1,16,1000,100,0.0237,0.34444444444444444,0.5056,450
2026-03-16,20:26:03,1,48,700,200,0.0128,0.34444444444444444,0.3110,450
2026-03-16,20:26:03,1,16,100,300,0.0090,0.34444444444444444,0.2007,450
2026-03-16,20:26:03,1,48,300,400,0.0119,0.34444444444444444,0.2972,450
2026-03-16,20:26:03,1,32,200,300,0.0079,0.34444444444444444,0.1667,450
2026-03-16,20:26:03,1,32,300,100,0.0143,0.34444444444444444,0.3271,450
2026-03-16,20:26:03,1,16,200,200,0.0134,0.34444444444444444,0.3168,450
2026-03-16,20:26:03,1,16,700,100,0.0135,0.34444444444444444,0.3260,450
2026-03-16,20:26:03,1,16,600,100,0.0141,0.34444444444444444,0.3241,450
2026-03-16,20:26:03,1,32,700,200,0.0131,0.34444444444444444,0.3130,450
2026-03-16,20:26:03,1,48,400,100,0.0135,0.34444444444444444,0.3056,450
2026-03-16,20:26:03,1,32,200,400,0.0079,0.34444444444444444,0.1641,450
