date,time,e,M,efc,efs,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-17,11:51:21,1,48,200,100,0.0021,0.3600,0.0898,225
2026-03-17,11:51:21,1,48,200,200,0.0021,0.3600,0.0838,225
2026-03-17,11:51:21,1,48,200,300,0.0021,0.3600,0.0849,225
2026-03-17,11:51:21,1,48,200,400,0.0021,0.3600,0.0836,225
2026-03-17,11:51:21,1,48,700,100,0.0019,0.3600,0.0921,225
2026-03-17,11:51:21,1,48,200,500,0.0021,0.3600,0.0830,225
2026-03-17,11:51:21,1,48,700,200,0.0019,0.3600,0.0919,225
2026-03-17,11:51:21,1,16,500,100,0.0054,0.3600,0.2505,225
2026-03-17,11:51:21,1,48,200,600,0.0021,0.3600,0.0853,225
2026-03-17,11:51:21,1,48,700,300,0.0019,0.3600,0.0901,225
2026-03-17,11:51:21,1,48,200,700,0.0021,0.3600,0.0815,225
2026-03-17,11:51:21,1,48,700,400,0.0019,0.3600,0.0860,225
2026-03-17,11:51:21,1,48,700,500,0.0019,0.3600,0.0908,225
2026-03-17,11:51:21,1,48,200,800,0.0021,0.3600,0.1288,225
2026-03-17,11:51:21,1,16,500,200,0.0054,0.3600,0.2518,225
2026-03-17,11:51:21,1,48,700,600,0.0019,0.3600,0.0920,225
2026-03-17,11:51:21,1,48,200,900,0.0021,0.3600,0.0962,225
2026-03-17,11:51:21,1,48,700,700,0.0019,0.3600,0.0899,225
2026-03-17,11:51:21,1,48,200,1000,0.0021,0.3600,0.0869,225
2026-03-17,11:51:21,1,48,700,800,0.0019,0.3600,0.0903,225
2026-03-17,11:51:21,1,16,500,300,0.0054,0.3600,0.2464,225
2026-03-17,11:51:21,1,48,700,900,0.0019,0.3600,0.0871,225
2026-03-17,11:51:21,1,48,700,1000,0.0019,0.3600,0.0937,225
2026-03-17,11:51:21,1,16,500,400,0.0054,0.3600,0.2523,225
2026-03-17,11:51:21,1,16,500,500,0.0054,0.3600,0.2503,225
2026-03-17,11:51:21,1,48,400,100,0.0020,0.3600,0.0871,225
2026-03-17,11:51:21,1,48,400,200,0.0020,0.3600,0.0897,225
2026-03-17,11:51:21,1,32,900,100,0.0059,0.3600,0.2442,225
2026-03-17,11:51:21,1,48,400,300,0.0020,0.3600,0.0882,225
2026-03-17,11:51:21,1,16,500,600,0.0054,0.3600,0.2375,225
2026-03-17,11:51:21,1,48,400,400,0.0020,0.3600,0.0882,225
2026-03-17,11:51:21,1,32,900,200,0.0059,0.3600,0.2356,225
2026-03-17,11:51:21,1,48,400,500,0.0020,0.3600,0.0894,225
2026-03-17,11:51:21,1,16,1000,100,0.0035,0.3600,0.1302,225
2026-03-17,11:51:21,1,48,900,100,0.0031,0.3600,0.1370,225
2026-03-17,11:51:21,1,16,100,100,0.0033,0.3600,0.1380,225
2026-03-17,11:51:21,1,48,400,600,0.0020,0.3600,0.0893,225
2026-03-17,11:51:21,1,16,500,700,0.0054,0.3600,0.2359,225
2026-03-17,11:51:21,1,16,1000,200,0.0035,0.3600,0.0968,225
2026-03-17,11:51:22,1,48,800,100,0.0052,0.3600,0.2194,225
2026-03-17,11:51:22,1,48,900,200,0.0031,0.3600,0.1362,225
2026-03-17,11:51:22,1,48,400,700,0.0020,0.3600,0.0957,225
2026-03-17,11:51:22,1,32,900,300,0.0059,0.3600,0.2462,225
2026-03-17,11:51:22,1,16,100,200,0.0033,0.3600,0.1385,225
2026-03-17,11:51:22,1,16,1000,300,0.0035,0.3600,0.1120,225
2026-03-17,11:51:22,1,16,400,100,0.0056,0.3600,0.2485,225
2026-03-17,11:51:22,1,48,400,800,0.0020,0.3600,0.1136,225
2026-03-17,11:51:22,1,48,900,300,0.0031,0.3600,0.1399,225
2026-03-17,11:51:22,1,16,1000,400,0.0035,0.3600,0.0966,225
2026-03-17,11:51:22,1,16,500,800,0.0054,0.3600,0.2356,225
2026-03-17,11:51:22,1,16,100,300,0.0033,0.3600,0.1421,225
2026-03-17,11:51:22,1,32,1000,100,0.0035,0.3600,0.1620,225
2026-03-17,11:51:22,1,48,800,200,0.0052,0.3600,0.2234,225
2026-03-17,11:51:22,1,48,400,900,0.0020,0.3600,0.0985,225
2026-03-17,11:51:22,1,16,1000,500,0.0035,0.3600,0.0929,225
2026-03-17,11:51:22,1,48,900,400,0.0031,0.3600,0.1384,225
2026-03-17,11:51:22,1,32,900,400,0.0059,0.3600,0.2511,225
2026-03-17,11:51:22,1,48,400,1000,0.0020,0.3600,0.0991,225
2026-03-17,11:51:22,1,16,100,400,0.0033,0.3600,0.1426,225
2026-03-17,11:51:22,1,16,400,200,0.0056,0.3600,0.2469,225
2026-03-17,11:51:22,1,32,1000,200,0.0035,0.3600,0.1604,225
2026-03-17,11:51:22,1,16,1000,600,0.0035,0.3600,0.1234,225
2026-03-17,11:51:22,1,16,500,900,0.0054,0.3600,0.2427,225
2026-03-17,11:51:22,1,32,300,100,0.0054,0.3600,0.2416,225
2026-03-17,11:51:22,1,48,900,500,0.0031,0.3600,0.1401,225
2026-03-17,11:51:22,1,48,800,300,0.0052,0.3600,0.2188,225
