date,time,e,M,efc,efs,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-17,11:46:05,1,32,400,100,0.0034,0.3600,0.1576,225
2026-03-17,11:46:05,1,32,400,200,0.0034,0.3600,0.1499,225
2026-03-17,11:46:05,1,48,700,100,0.0033,0.3600,0.1595,225
2026-03-17,11:46:05,1,32,400,300,0.0034,0.3600,0.1480,225
2026-03-17,11:46:05,1,48,700,200,0.0033,0.3600,0.1593,225
2026-03-17,11:46:05,1,32,400,400,0.0034,0.3600,0.1443,225
2026-03-17,11:46:06,1,48,700,300,0.0033,0.3600,0.1591,225
2026-03-17,11:46:06,1,32,400,500,0.0034,0.3600,0.1536,225
2026-03-17,11:46:06,1,48,700,400,0.0033,0.3600,0.1551,225
2026-03-17,11:46:06,1,48,600,100,0.0020,0.3600,0.0868,225
2026-03-17,11:46:06,1,32,400,600,0.0034,0.3600,0.1633,225
2026-03-17,11:46:06,1,48,700,500,0.0033,0.3600,0.1464,225
2026-03-17,11:46:06,1,48,600,200,0.0020,0.3600,0.0865,225
2026-03-17,11:46:06,1,32,400,700,0.0034,0.3600,0.1638,225
2026-03-17,11:46:06,1,48,700,600,0.0033,0.3600,0.1569,225
2026-03-17,11:46:06,1,48,600,300,0.0020,0.3600,0.1379,225
2026-03-17,11:46:06,1,48,800,100,0.0051,0.3600,0.2332,225
2026-03-17,11:46:06,1,32,800,100,0.0035,0.3600,0.1427,225
2026-03-17,11:46:06,1,32,400,800,0.0034,0.3600,0.1667,225
2026-03-17,11:46:06,1,48,600,400,0.0020,0.3600,0.1414,225
2026-03-17,11:46:06,1,48,400,100,0.0053,0.3600,0.2452,225
2026-03-17,11:46:06,1,48,700,700,0.0033,0.3600,0.1551,225
2026-03-17,11:46:06,1,32,200,100,0.0034,0.3600,0.1544,225
2026-03-17,11:46:06,1,32,800,200,0.0035,0.3600,0.1519,225
2026-03-17,11:46:06,1,48,800,200,0.0051,0.3600,0.2409,225
2026-03-17,11:46:06,1,32,400,900,0.0034,0.3600,0.1642,225
2026-03-17,11:46:06,1,48,600,500,0.0020,0.3600,0.1410,225
2026-03-17,11:46:06,1,48,700,800,0.0033,0.3600,0.1530,225
2026-03-17,11:46:06,1,32,200,200,0.0034,0.3600,0.1420,225
2026-03-17,11:46:06,1,48,400,200,0.0053,0.3600,0.1992,225
2026-03-17,11:46:06,1,32,700,100,0.0059,0.3600,0.2546,225
2026-03-17,11:46:06,1,32,800,300,0.0035,0.3600,0.1573,225
2026-03-17,11:46:06,1,32,400,1000,0.0034,0.3600,0.1434,225
2026-03-17,11:46:06,1,48,600,600,0.0020,0.3600,0.1454,225
2026-03-17,11:46:06,1,48,100,100,0.0022,0.3600,0.1171,225
2026-03-17,11:46:06,1,32,200,300,0.0034,0.3600,0.1439,225
2026-03-17,11:46:06,1,48,400,300,0.0053,0.3600,0.1447,225
2026-03-17,11:46:06,1,48,800,300,0.0051,0.3600,0.2450,225
2026-03-17,11:46:06,1,48,700,900,0.0033,0.3600,0.2342,225
2026-03-17,11:46:06,1,32,800,400,0.0035,0.3600,0.1577,225
2026-03-17,11:46:06,1,48,600,700,0.0020,0.3600,0.1442,225
2026-03-17,11:46:06,1,48,1000,100,0.0054,0.3600,0.2325,225
2026-03-17,11:46:06,1,48,100,200,0.0022,0.3600,0.1308,225
2026-03-17,11:46:06,1,16,300,100,0.0058,0.3600,0.2525,225
2026-03-17,11:46:06,1,32,700,200,0.0059,0.3600,0.2545,225
2026-03-17,11:46:06,1,32,200,400,0.0034,0.3600,0.1459,225
2026-03-17,11:46:06,1,48,400,400,0.0053,0.3600,0.1468,225
2026-03-17,11:46:06,1,16,400,100,0.0034,0.3600,0.1576,225
2026-03-17,11:46:06,1,48,100,300,0.0022,0.3600,0.1253,225
2026-03-17,11:46:06,1,32,800,500,0.0035,0.3600,0.1688,225
2026-03-17,11:46:06,1,48,600,800,0.0020,0.3600,0.1508,225
2026-03-17,11:46:06,1,32,200,500,0.0034,0.3600,0.1472,225
2026-03-17,11:46:06,1,48,700,1000,0.0033,0.3600,0.2368,225
2026-03-17,11:46:06,1,48,800,400,0.0051,0.3600,0.2555,225
2026-03-17,11:46:06,1,16,100,100,0.0036,0.3600,0.1639,225
2026-03-17,11:46:06,1,48,400,500,0.0053,0.3600,0.1557,225
2026-03-17,11:46:06,1,32,300,100,0.0038,0.3600,0.1543,225
2026-03-17,11:46:06,1,48,1000,200,0.0054,0.3600,0.2384,225
2026-03-17,11:46:06,1,48,100,400,0.0022,0.3600,0.1013,225
2026-03-17,11:46:06,1,32,500,100,0.0037,0.3600,0.1717,225
2026-03-17,11:46:06,1,16,400,200,0.0034,0.3600,0.1630,225
2026-03-17,11:46:06,1,16,300,200,0.0058,0.3600,0.2533,225
2026-03-17,11:46:06,1,32,700,300,0.0059,0.3600,0.2670,225
2026-03-17,11:46:06,1,48,600,900,0.0020,0.3600,0.1506,225
2026-03-17,11:46:06,1,32,800,600,0.0035,0.3600,0.1733,225
2026-03-17,11:46:06,1,32,200,600,0.0034,0.3600,0.1449,225
2026-03-17,11:46:06,1,48,500,100,0.0035,0.3600,0.1588,225
2026-03-17,11:46:06,1,32,600,100,0.0062,0.3600,0.2683,225
2026-03-17,11:46:06,1,16,100,200,0.0036,0.3600,0.1616,225
2026-03-17,11:46:06,1,48,100,500,0.0022,0.3600,0.1155,225
2026-03-17,11:46:06,1,48,400,600,0.0053,0.3600,0.1515,225
2026-03-17,11:46:06,1,32,300,200,0.0038,0.3600,0.1492,225
2026-03-17,11:46:06,1,32,500,200,0.0037,0.3600,0.1655,225
2026-03-17,11:46:06,1,32,100,100,0.0059,0.3600,0.2514,225
2026-03-17,11:46:06,1,16,400,300,0.0034,0.3600,0.1583,225
2026-03-17,11:46:06,1,48,600,1000,0.0020,0.3600,0.1187,225
2026-03-17,11:46:06,1,48,800,500,0.0051,0.3600,0.2505,225
2026-03-17,11:46:06,1,48,1000,300,0.0054,0.3600,0.2266,225
2026-03-17,11:46:06,1,32,200,700,0.0034,0.3600,0.1381,225
2026-03-17,11:46:06,1,32,800,700,0.0035,0.3600,0.1614,225
2026-03-17,11:46:06,1,48,500,200,0.0035,0.3600,0.1480,225
2026-03-17,11:46:06,1,48,100,600,0.0022,0.3600,0.1433,225
2026-03-17,11:46:06,1,48,400,700,0.0053,0.3600,0.1394,225
2026-03-17,11:46:06,1,16,300,300,0.0058,0.3600,0.2338,225
2026-03-17,11:46:06,1,16,100,300,0.0036,0.3600,0.1582,225
2026-03-17,11:46:06,1,32,300,300,0.0038,0.3600,0.1589,225
2026-03-17,11:46:06,1,32,700,400,0.0059,0.3600,0.2500,225
2026-03-17,11:46:06,1,16,800,100,0.0034,0.3600,0.1578,225
2026-03-17,11:46:06,1,32,900,100,0.0035,0.3600,0.1510,225
2026-03-17,11:46:06,1,16,400,400,0.0034,0.3600,0.1504,225
2026-03-17,11:46:06,1,32,500,300,0.0037,0.3600,0.1571,225
2026-03-17,11:46:06,1,32,600,200,0.0062,0.3600,0.2476,225
2026-03-17,11:46:06,1,32,200,800,0.0034,0.3600,0.1337,225
2026-03-17,11:46:06,1,48,500,300,0.0035,0.3600,0.1443,225
2026-03-17,11:46:06,1,32,800,800,0.0035,0.3600,0.1545,225
2026-03-17,11:46:06,1,48,100,700,0.0022,0.3600,0.1412,225
2026-03-17,11:46:06,1,48,400,800,0.0053,0.3600,0.1366,225
2026-03-17,11:46:06,1,48,200,100,0.0055,0.3600,0.2279,225
2026-03-17,11:46:06,1,32,100,200,0.0059,0.3600,0.2492,225
2026-03-17,11:46:06,1,32,500,400,0.0037,0.3600,0.0936,225
2026-03-17,11:46:06,1,48,800,600,0.0051,0.3600,0.2339,225
2026-03-17,11:46:06,1,16,100,400,0.0036,0.3600,0.1561,225
2026-03-17,11:46:06,1,48,1000,400,0.0054,0.3600,0.2194,225
2026-03-17,11:46:06,1,32,300,400,0.0038,0.3600,0.1576,225
2026-03-17,11:46:06,1,16,800,200,0.0034,0.3600,0.1580,225
2026-03-17,11:46:06,1,32,900,200,0.0035,0.3600,0.1530,225
2026-03-17,11:46:06,1,16,400,500,0.0034,0.3600,0.1562,225
2026-03-17,11:46:06,1,32,200,900,0.0034,0.3600,0.1363,225
2026-03-17,11:46:06,1,16,300,400,0.0058,0.3600,0.2389,225
2026-03-17,11:46:06,1,32,500,500,0.0037,0.3600,0.0974,225
2026-03-17,11:46:06,1,48,500,400,0.0035,0.3600,0.1462,225
2026-03-17,11:46:06,1,48,400,900,0.0053,0.3600,0.1373,225
2026-03-17,11:46:06,1,32,700,500,0.0059,0.3600,0.2516,225
2026-03-17,11:46:06,1,48,100,800,0.0022,0.3600,0.1432,225
2026-03-17,11:46:06,1,32,800,900,0.0035,0.3600,0.1566,225
2026-03-17,11:46:06,1,16,100,500,0.0036,0.3600,0.1583,225
2026-03-17,11:46:06,1,48,300,100,0.0053,0.3600,0.2237,225
2026-03-17,11:46:06,1,16,900,100,0.0057,0.3600,0.2541,225
2026-03-17,11:46:06,1,32,300,500,0.0038,0.3600,0.1583,225
2026-03-17,11:46:06,1,32,600,300,0.0062,0.3600,0.2556,225
2026-03-17,11:46:06,1,32,500,600,0.0037,0.3600,0.0958,225
2026-03-17,11:46:06,1,16,800,300,0.0034,0.3600,0.1563,225
